         958227 function calls (954979 primitive calls) in 154.866 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      340    0.009    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       23    0.000    0.000    0.048    0.002 re.py:249(compile)
      666    0.018    0.000    0.047    0.000 shape_base.py:731(array_split)
     1332    0.014    0.000    0.045    0.000 interpreter.py:751(get_output_details)
     3130    0.022    0.000    0.043    0.000 ImageFont.py:568(fill)
     2664    0.043    0.000    0.043    0.000 interpreter.py:586(_get_tensor_details)
      317    0.003    0.000    0.043    0.000 overrides.py:142(decorator)
     1332    0.017    0.000    0.042    0.000 interpreter.py:699(<listcomp>)
       24    0.000    0.000    0.040    0.002 __init__.py:108(import_module)
       22    0.000    0.000    0.040    0.002 <frozen importlib._bootstrap_external>:1174(create_module)
       24    0.000    0.000    0.040    0.002 <frozen importlib._bootstrap>:1038(_gcd_import)
       22    0.032    0.001    0.040    0.002 {built-in method _imp.create_dynamic}
      151    0.003    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.036    0.036 platform.py:1(<module>)
     1332    0.017    0.000    0.035    0.000 Image.py:227(_conv_type_shape)
        1    0.000    0.000    0.034    0.034 ExifTags.py:1(<module>)
     1332    0.012    0.000    0.034    0.000 fromnumeric.py:71(_wrapreduction)
       23    0.003    0.000    0.033    0.001 __init__.py:23(__load_extra_py_code_for_module)
        1    0.000    0.000    0.032    0.032 numerictypes.py:1(<module>)
      666    0.015    0.000    0.032    0.000 shape_base.py:372(stack)
     1332    0.014    0.000    0.031    0.000 interpreter.py:759(<listcomp>)
     6260    0.020    0.000    0.031    0.000 Image.py:243(getmodebase)
     3996    0.019    0.000    0.031    0.000 Image.py:2882(_check_size)
     1893    0.012    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       31    0.000    0.000    0.031    0.001 sre_parse.py:944(parse)
    89/31    0.001    0.000    0.030    0.001 sre_parse.py:436(_parse_sub)
     5794    0.020    0.000    0.030    0.000 Image.py:814(load)
      177    0.004    0.000    0.029    0.000 typing.py:1016(__init__)
   101/33    0.008    0.000    0.029    0.001 sre_parse.py:494(_parse)
    62/61    0.000    0.000    0.029    0.000 typing.py:401(__getitem__)
       61    0.001    0.000    0.029    0.000 typing.py:483(Union)
        1    0.000    0.000    0.028    0.028 _type_aliases.py:1(<module>)
    20512    0.028    0.000    0.028    0.000 Image.py:503(size)
      666    0.004    0.000    0.026    0.000 fromnumeric.py:2322(any)
     1998    0.017    0.000    0.026    0.000 Image.py:511(_new)
     1332    0.014    0.000    0.025    0.000 Image.py:374(_getdecoder)
      278    0.003    0.000    0.024    0.000 overrides.py:83(verify_matching_signatures)
     3130    0.015    0.000    0.024    0.000 Image.py:3168(_decompression_bomb_check)
        1    0.000    0.000    0.024    0.024 py3k.py:1(<module>)
     1998    0.006    0.000    0.023    0.000 fromnumeric.py:537(swapaxes)
       18    0.008    0.000    0.023    0.001 enum.py:180(__new__)
        1    0.000    0.000    0.023    0.023 numeric.py:1(<module>)
        1    0.000    0.000    0.022    0.022 _array_like.py:1(<module>)
     3130    0.014    0.000    0.022    0.000 base64.py:34(_bytes_from_decode_data)
    11197    0.021    0.000    0.021    0.000 {built-in method builtins.getattr}
     1332    0.012    0.000    0.021    0.000 Image.py:397(_getencoder)
    14918    0.021    0.000    0.021    0.000 Image.py:507(mode)
        1    0.000    0.000    0.020    0.020 _pickle.py:1(<module>)
      477    0.006    0.000    0.020    0.000 enum.py:89(__setitem__)
       31    0.000    0.000    0.020    0.001 sre_compile.py:622(_code)
        1    0.000    0.000    0.019    0.019 _dtype_like.py:1(<module>)
      605    0.004    0.000    0.019    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.018    0.018 multiarray.py:1(<module>)
    22/17    0.000    0.000    0.018    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
    22/17    0.003    0.000    0.018    0.001 {built-in method _imp.exec_dynamic}
     3130    0.017    0.000    0.017    0.000 {method 'draw_bitmap' of 'ImagingDraw' objects}
     1332    0.017    0.000    0.017    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     3598    0.012    0.000    0.017    0.000 <frozen importlib._bootstrap>:404(parent)
    11406    0.017    0.000    0.017    0.000 {method 'get' of 'dict' objects}
      205    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
   209/31    0.005    0.000    0.017    0.001 sre_compile.py:87(_compile)
        1    0.000    0.000    0.016    0.016 overrides.py:1(<module>)
     9390    0.016    0.000    0.016    0.000 {method 'draw_ink' of 'ImagingDraw' objects}
     1893    0.009    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        2    0.000    0.000    0.015    0.008 shape_base.py:1(<module>)
        1    0.000    0.000    0.015    0.015 _char_codes.py:1(<module>)
       39    0.000    0.000    0.015    0.000 typing.py:407(__getitem__)
     7592    0.015    0.000    0.015    0.000 ImageMode.py:36(getmode)
     1576    0.005    0.000    0.015    0.000 typing.py:986(__setattr__)
      666    0.003    0.000    0.014    0.000 fromnumeric.py:2692(max)
      302    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        1    0.000    0.000    0.014    0.014 pathlib.py:1(<module>)
      151    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       39    0.002    0.000    0.014    0.000 typing.py:532(Literal)
